id,plate_text,confidence,source,frame_num,plate_img,timestamp
271,JOBERD,0.434,video,774,video_20260523_123033_177760.jpg,2026-05-23 12:30:33
272,IOBEPD,0.515,video,777,video_20260523_123033_418829.jpg,2026-05-23 12:30:33
273,LUBZQ,0.467,video,777,video_20260523_123033_465414.jpg,2026-05-23 12:30:33
274,GJOGEPD,0.565,video,780,video_20260523_123033_681415.jpg,2026-05-23 12:30:33
275,LBZO,0.548,video,780,video_20260523_123033_721821.jpg,2026-05-23 12:30:33
276,NIZZO,0.621,video,783,video_20260523_123033_945873.jpg,2026-05-23 12:30:33
277,LSZZD,0.488,video,786,video_20260523_123034_221144.jpg,2026-05-23 12:30:34
278,LN5ZZD,0.407,video,786,video_20260523_123034_305702.jpg,2026-05-23 12:30:34
279,SZZQ,0.495,video,789,video_20260523_123034_547422.jpg,2026-05-23 12:30:34
280,GOBEPD,0.515,video,792,video_20260523_123034_755455.jpg,2026-05-23 12:30:34
281,6JOGEPD,0.523,video,795,video_20260523_123035_018046.jpg,2026-05-23 12:30:35
282,LSZZQ,0.525,video,798,video_20260523_123035_252094.jpg,2026-05-23 12:30:35
283,6IOBEP,0.5,video,798,video_20260523_123035_306522.jpg,2026-05-23 12:30:35
284,LWSZZQ,0.626,video,801,video_20260523_123035_538795.jpg,2026-05-23 12:30:35
285,6JOS EFD,0.422,video,801,video_20260523_123035_621612.jpg,2026-05-23 12:30:35
286,GJO6 EPD,0.518,video,813,video_20260523_123036_305283.jpg,2026-05-23 12:30:36
287,0JOB ED,0.409,video,816,video_20260523_123036_563762.jpg,2026-05-23 12:30:36
288,LNSZZC,0.678,video,819,video_20260523_123036_696803.jpg,2026-05-23 12:30:36
289,GGJOSEPD,0.524,video,822,video_20260523_123036_851037.jpg,2026-05-23 12:30:36
290,GOBED,0.617,video,825,video_20260523_123037_020974.jpg,2026-05-23 12:30:37
291,LNSZZQ,0.492,video,825,video_20260523_123037_049071.jpg,2026-05-23 12:30:37
292,6JOS EP,0.576,video,828,video_20260523_123037_244813.jpg,2026-05-23 12:30:37
293,LH5ZZ9,0.614,video,834,video_20260523_123037_546820.jpg,2026-05-23 12:30:37
294,LHSZZQ,0.639,video,837,video_20260523_123037_778366.jpg,2026-05-23 12:30:37
295,GJOS EED,0.487,video,837,video_20260523_123037_819941.jpg,2026-05-23 12:30:37
296,GOS ED,0.539,video,840,video_20260523_123038_041997.jpg,2026-05-23 12:30:38
297,LNISZZQ,0.603,video,843,video_20260523_123038_306990.jpg,2026-05-23 12:30:38
298,LHISZZC,0.677,video,846,video_20260523_123038_509803.jpg,2026-05-23 12:30:38
299,LUISZZG,0.745,video,849,video_20260523_123038_774034.jpg,2026-05-23 12:30:38
300,ZZC LWS,0.665,video,852,video_20260523_123039_018567.jpg,2026-05-23 12:30:39
301,MIL,0.462,video,855,video_20260523_123039_275070.jpg,2026-05-23 12:30:39
302,LNIS ZZQ,0.45,video,855,video_20260523_123039_329678.jpg,2026-05-23 12:30:39
303,LNSZZ9,0.669,video,858,video_20260523_123039_555507.jpg,2026-05-23 12:30:39
304,MJT,0.428,video,858,video_20260523_123039_624419.jpg,2026-05-23 12:30:39
